# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
1970;Grundstücksertrag (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1971;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1979
1980;Unentgeltliche Wertabgaben (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1981;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1989
1990;Einzahlungen (Teilhafter), Fremdkapital 8);aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1991;Art.-Nr. 11174 2026-01-01;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1999
2000;(ohne Standardbeschriftung);aufwand;;;;;R;;;2003
2004;Verluste durch Verschmelzung und Umwandlung;aufwand;;;;Sonstige betriebliche Aufwendungen;;;K;
2006;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2007;Aufwendungen für Restrukturierungs- und Sanierungsmaßnahmen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2008;Betriebsfremde und periodenfremde Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2010;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2020;Periodenfremde Aufwendungen Aufwendungen aus der Anwendung von Übergangsvorschriften i. S. d. BilMoG;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2090;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2091;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2094;Zinsen und ähnliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2100;Zinsen und ähnliche Aufwendungen;aufwand;;;Zinsaufwand;Zinsen und ähnliche Aufwendungen;;;GK;
2102;Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern § 4 Abs. 5b EStG;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2103;Steuerlich abzugsfähige andere Nebenleistungen zu Steuern;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2104;Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2105;Zinsaufwendungen § 233a AO nicht abzugsfähig;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GKGK;
2107;Zinsaufwendungen § 233a AO abzugsfähig;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2108;Zinsaufwendungen §§ 234 bis 237 AO nicht abzugsfähig;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2109;Zinsaufwendungen an verbundene Unternehmen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2110;Zinsaufwendungen für kurzfristige Verbindlichkeiten;aufwand;;;Zinsaufwand;Zinsen und ähnliche Aufwendungen;;;GK;
2111;Zinsaufwendungen §§ 234 bis 237 AO abzugsfähig;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2113;Nicht abzugsfähige Schuldzinsen nach § 4 Abs. 4a EStG (Hinzurechnungsbetrag);aufwand;;;;Zinsen und ähnliche Aufwendungen;;;G;
2114;Zinsen für Gesellschafterdarlehen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;K;
2115;Zinsen und ähnliche Aufwendungen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 und 4 KStG 9)16);aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2116;Zinsen und ähnliche Aufwendungen an verbundene Unternehmen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 KStG 9)16);aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2117;Zinsen an Gesellschafter mit einer Beteiligung von mehr als 25 % bzw. diesen nahe stehende Personen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;K;
2118;Zinsen auf Kontokorrentkonten;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2119;Zinsaufwendungen für kurzfristige Verbindlichkeiten an verbundene Unternehmen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2120;Zinsaufwendungen für langfristige Verbindlichkeiten;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2123;Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2124;Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung des Anlagevermögens;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2125;Zinsaufwendungen für Gebäude, die zum Betriebsvermögen gehören;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2126;Zinsen zur Finanzierung des Anlagevermögens;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2127;Renten und dauernde Lasten;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2128;Zinsaufwendungen für Kapitalüberlassung durch Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Zinsen und ähnliche Aufwendungen;;;G;
2129;Zinsaufwendungen für langfristige Verbindlichkeiten an verbundene Unternehmen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2130;Zinsen und ähnliche Aufwendungen;aufwand;;;;Zinsen und ähnliche Aufwendungen;R;;GK;2139
2140;Zinsähnliche Aufwendungen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2141;Kreditprovisionen und Verwaltungskostenbeiträge;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2142;Zinsanteil der Zuführungen zu Pensionsrückstellungen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2143;Zinsaufwendungen aus der Abzinsung von auf Rentenverpflichtungen beruhenden Verbindlichkeiten, für die eine Gegenleistung nicht mehr zu erwarten ist 8);aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2144;Zinsaufwendungen aus der Abzinsung von Rückstellungen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2145;Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen Seite 13;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2146;Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB;aufwand;;;;Zinsen und ähnliche Aufwendungen oder Sonstige Zinsen und ähnliche Erträge;;HB;;
2147;Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB;aufwand;;;;Zinsen und ähnliche Aufwendungen oder Sonstige Zinsen und ähnliche Erträge;;HB;;
2148;Steuerlich nicht abzugsfähige Zinsaufwendungen aus der Abzinsung von Rückstellungen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;GK;
2149;Zinsähnliche Aufwendungen an verbundene Unternehmen;aufwand;;;;Zinsen und ähnliche Aufwendungen;;;;
2150;Aufwendungen aus der Währungsumrechnung;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2151;Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB);aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2166;Aufwendungen aus Bewertung Finanzmittelfonds;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2170;Nicht abziehbare Vorsteuer;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2171;Nicht abziehbare Vorsteuer 7 %;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2174;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;2175
2176;Nicht abziehbare Vorsteuer 19 % Steuern vom Einkommen und Ertrag;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2200;Körperschaftsteuer;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2203;Körperschaftsteuer für Vorjahre;aufwand;;;;Steuern vom Einkommen und vom Ertrag oder Steuern vom Einkommen und vom Ertrag;;;K;
2204;Körperschaftsteuererstattungen für Vorjahre;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2208;Solidaritätszuschlag;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2209;Solidaritätszuschlag für Vorjahre;aufwand;;;;Steuern vom Einkommen und vom Ertrag oder Steuern vom Einkommen und vom Ertrag;;;K;
2210;Solidaritätszuschlagerstattungen für Vorjahre;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2213;Kapitalertragsteuer 25 %;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2216;Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer 25 %;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;K;
2218;Ausländische Steuer auf im Inland steuerfreie DBA-Einkünfte;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
2219;Anrechnung/Abzug ausländische Quellensteuer;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
2250;Aufwendungen aus der Zuführung und Auflösung von latenten Steuern;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;HB;GK;
2255;Erträge aus der Zuführung und Auflösung von latenten Steuern;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;HB;GK;
2260;Aufwendungen aus der Zuführung zu Steuerrückstellungen für Steuerstundung (BStBK);aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
2265;Erträge aus der Auflösung von Steuerrückstellungen für Steuerstundung (BStBK);aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
2281;Gewerbesteuernachzahlungen und Gewerbesteuererstattungen für Vorjahre nach § 4 Abs. 5b EStG;aufwand;;;;Steuern vom Einkommen und vom Ertrag oder Steuern vom Einkommen und vom Ertrag;;;GKGK;
2283;Erträge aus der Auflösung von Gewerbesteuerrückstellungen nach § 4 Abs. 5b EStG;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
2285;Steuernachzahlungen Vorjahre für sonstige Steuern;aufwand;;;;Sonstige Steuern;;;;
2287;Steuererstattungen Vorjahre für sonstige Steuern;aufwand;;;;Sonstige Steuern;;;;
2289;Erträge aus der Auflösung von Rückstellungen für sonstige Steuern Sonstige Aufwendungen;aufwand;;;;Sonstige Steuern;;;;
2300;Sonstige Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2307;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2308;Sonstige nicht abziehbare Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2310;Anlagenabgänge Sachanlagen (Restbuchwert bei Buchverlust);aufwand;;;;Sonstige betriebliche Aufwendungen;KU;;;
2311;Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchverlust);aufwand;;;;Sonstige betriebliche Aufwendungen;KU;;;
2312;Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchverlust);aufwand;;;;Sonstige betriebliche Aufwendungen;KU;;;
2313;Anlagenabgänge Finanzanlagen § Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V m. § 8b Abs. 3 S. 3 KStG (Restbuchwert bei Buchverlust) 9);aufwand;;;;Sonstige betriebliche Aufwendungen;KU;;GK;
2315;Anlagenabgänge Sachanlagen (Restbuchwert bei Buchgewinn);aufwand;;;;Sonstige betriebliche Erträge;KU;;;
2316;Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchgewinn);aufwand;;;;Sonstige betriebliche Erträge;KU;;;
2317;Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchgewinn);aufwand;;;;Sonstige betriebliche Erträge;KU;;;
2318;Anlagenabgänge Finanzanlagen § Nr. 40 EStG bzw. § 8b Abs. 2 KStG (Restbuchwert bei Buchgewinn) 9);aufwand;;;;Sonstige betriebliche Erträge;KU;;GK;
2320;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2323;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2324;Abgänge Wertpapiere des Umlaufvermögens § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (Buchwert bei Buchverlust) 9);aufwand;;;;Sonstige betriebliche Aufwendungen;;;K;
2325;Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte);aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2326;Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte) § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG 9);aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2327;Abgang von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;;EÜR;;
2328;Abgang von Wirtschaftsgütern des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG nach § 4 Abs. 3 S. 4 EStG 9) Art.-Nr. 11174 2026-01-01;aufwand;;;;Sonstige betriebliche Aufwendungen;;EÜR;GK;
2339;Einstellungen in die steuerliche Rücklage nach § 4g EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;;SB;;
2342;Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;;SB;;
2343;Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;;SB;;
2344;Einstellungen in die Rücklage für Ersatzbeschaffung nach R 6.6 EStR;aufwand;;;;Sonstige betriebliche Aufwendungen;;SB;;
2345;Einstellungen in sonstige steuerliche Rücklagen;aufwand;;;;Sonstige betriebliche Aufwendungen;;SB;;
2347;Aufwendungen aus dem Erwerb eigener Anteile;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2350;Sonstige Grundstücksaufwendungen (neutral);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
2375;Grundsteuer;aufwand;;;;Sonstige Steuern;;;G;
2380;Zuwendungen, Spenden, steuerlich nicht abziehbar;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2381;Zuwendungen, Spenden für wissenschaftliche und kulturelle Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2382;Zuwendungen, Spenden für mildtätige Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2383;Zuwendungen, Spenden für kirchliche, religiöse und gemeinnützige Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2384;Zuwendungen, Spenden an politische Parteien;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2385;Nicht abziehbare Hälfte der Aufsichtsratsvergütungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;K;
2386;Abziehbare Aufsichtsratsvergütungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2387;Zuwendungen, Spenden in das zu erhaltende Vermögen (Vermögensstock) einer Stiftung für gemeinnützige Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2389;Zuwendungen, Spenden in das zu erhaltende Vermögen (Vermögensstock) einer Stiftung für kirchliche, religiöse und gemeinnützige Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2390;Zuwendungen, Spenden an Stiftungen in das zu erhaltende Vermögen (Vermögensstock) für wissenschaftliche, mildtätige, kulturelle Zwecke;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
2400;Forderungsverluste (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;M;;;
2401;Forderungsverluste 7 % USt (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;AM;;U;
2402;Forderungsverluste aus steuerfreien EU-Lieferungen (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;AM;;U;
2403;Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;AM;;U;
2404;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;2405
2406;Forderungsverluste 19 % USt (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;AM;;U;
2407;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2408;Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt (übliche Höhe);aufwand;;;;Sonstige betriebliche Aufwendungen;AM;;U;
2409;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
2430;Forderungsverluste (soweit unüblich hoch);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;M;;;
2431;Forderungsverluste 7 % USt (soweit unüblich hoch);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;AM;;U;
2432;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;R;;;2435
2436;Forderungsverluste 19 % USt (soweit unüblich hoch);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;AM;;U;
2437;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;R;;;2438
2440;Abschreibungen auf Forderungen gegenüber Kapitalgesellschaften, an denen eine Beteiligung besteht (soweit unüblich hoch), § 3c EStG bzw. § 8b Abs. 3 KStG;aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;M;;GK;
2441;Abschreibungen auf Forderungen gegenüber Gesellschaftern und nahestehende Personen (soweit unüblich hoch), § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG 9);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;M;;GK;
2450;Einstellungen in die Pauschalwertberichtigung auf Forderungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2451;Einstellungen in die Einzelwertberichtigung auf Forderungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
2480;Einstellungen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen;aufwand;;;;Einstellungen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen;;;;
2481;Einstellungen in gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung);aufwand;;;;Einstellungen in andere Rücklagen;F;;;
2485;Einstellungen in andere Ergebnisrücklagen;aufwand;;;;Einstellungen in andere Ergebnisrücklagen;;;;
2488;Änderung steuerlicher Ausgleichsposten (Körperschaften);aufwand;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);;SB;;
2489;Änderung steuerlicher Ausgleichsposten (Personengesellschaften, Einzelunternehmen);aufwand;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);F;SB;;
2490;Aufwendungen aus Verlustübernahme;aufwand;;;;Aufwendungen aus Verlustübernahmen (Mutter);;;GK;
2491;Abgeführte Gewinnanteile (Soll) / ausgeglichene Verlustanteile (Haben) bei atypisch stiller Beteiligung Seite 15;aufwand;;;;Auf Grund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne oder Erträge aus Verlustübernahme;;HB;;
2492;Abgeführte Gewinne auf Grund einer Gewinngemeinschaft;aufwand;;;;Auf Grund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne;;;;
2493;Abgeführte Gewinnanteile (Soll) / ausgeglichene Verlustanteile (Haben) bei typisch stiller Beteiligung § 8 GewStG;aufwand;;;;Auf Grund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne oder Erträge aus Verlustübernahme;;;GK;
2494;Abgeführte Gewinne auf Grund eines Gewinn- oder Teilgewinnabführungsvertrags;aufwand;;;;Auf Grund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne;;;K;
2495;Einstellungen in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung;aufwand;;;;Einstellungen in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung;;;;
2496;Einstellungen in die gesetzliche Rücklage;aufwand;;;;Einstellungen in die gesetzliche Rücklage;;;;
2497;Einstellungen in satzungsmäßige Rücklagen;aufwand;;;;Einstellungen in satzungsmäßige Rücklagen;;;;
2498;Einstellungen in den Ausgleichsposten für aktivierte eigene Anteile;aufwand;;;;Einstellungen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen;F;;;
2499;Einstellungen in andere Gewinnrücklagen Sonstige betriebliche Erträge;aufwand;;;;Einstellungen in andere Gewinnrücklagen;;;;
2504;Erträge durch Verschmelzung und Umwandlung;aufwand;;;;Sonstige betriebliche Erträge;;;K;
2508;Betriebsfremde und periodenfremde Erträge;aufwand;;;;Sonstige betriebliche Erträge;R;;;
2510;Sonstige betriebsfremde Erträge;aufwand;;;;Sonstige betriebliche Erträge;;;;
2520;Periodenfremde Erträge;aufwand;;;;Sonstige betriebliche Erträge;;;;
2590;Sonstige betriebliche Erträge;aufwand;;;;Sonstige betriebliche Erträge;R;;;
2594;Zinserträge;aufwand;;;;Sonstige betriebliche Erträge;R;;;
2600;Erträge aus Beteiligungen;aufwand;;;;Erträge aus Beteiligungen;;;;
2603;Erträge aus Beteiligungen an Personengesellschaften (verbundene Unternehmen), § 9 GewStG bzw. § 18 EStG 23);aufwand;;;;Erträge aus Beteiligungen;;;GK;
2613;Erträge aus typisch stillen Beteiligungen;aufwand;;;;Erträge aus Beteiligungen;;;;
2614;Erträge aus atypisch stillen Beteiligungen 23);aufwand;;;;Erträge aus Beteiligungen;;;GK;
2615;Erträge aus Anteilen an Kapitalgesellschaften (Beteiligung) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG 9);aufwand;;;;Erträge aus Beteiligungen;;;GK;
2616;Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG 9);aufwand;;;;Erträge aus Beteiligungen;;;GK;
2618;Gewinnanteile aus gewerblichen und selbständigen Mitunternehmerschaften, § 9 GewStG bzw. § 18 EStG 23);aufwand;;;;Erträge aus Beteiligungen;;;GK;
2619;Erträge aus Beteiligungen an verbundenen Unternehmen;aufwand;;;;Erträge aus Beteiligungen;;;;
2620;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;;
2621;Erträge aus Ausleihungen des Finanzanlagevermögens;aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;;
2622;Erträge aus Ausleihungen des Finanzanlagevermögens an verbundenen Unternehmen;aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;;
2623;Erträge aus Anteilen an Personengesellschaften (Finanzanlagevermögen);aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;;
2625;Erträge aus Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 und 4 KStG 9);aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;GK;
2626;Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG 9);aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;GK;
2640;Zins- und Dividendenerträge;aufwand;;;;Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens;;;;
